"","rh02","rh05","rh06","rh09","rh03","rh04","rh10","rh08","rh01","rh07"
"EPTA",1062,616,1134,2,1362,549,3280,666,300,328
"ERMB",22279,10547,20695,10502,4197,6544,5887,13356,1324,5755
"ERMR",0,0,0,0,0,0,2,0,0,0
"ERMT",0,0,0,2,0,0,8,0,0,0
"EVGS",1426,806,1673,18,2244,642,3846,936,368,442
"FLOR",6,2,8,0,0,6,0,0,0,2
"FONA",0,0,0,0,0,0,4,0,0,0
"FOSA",0,1,0,1,0,0,4,0,0,0
"GADW",1736,912,1856,12,2236,752,4875,930,494,468
"GADX",2973,1464,3342,2,3764,1314,8225,1517,740,752
"GES",4,2,8,0,0,1,8,2,8,2
"GESA",3918,2305,3734,2,400,1374,0,1452,380,1309
"GESB",4368,2360,4538,2,442,1321,0,1278,314,1288
"GESC",992,504,944,0,120,330,0,260,50,284
"HNS",254,172,346,8,196,126,841,178,82,82
"KDPE",1085,666,1324,2,874,555,4144,568,310,342
"KPN",330,182,442,2,170,108,1834,202,154,116
"MARA",520,260,472,0,104,154,2672,286,258,134
"MARR",0,0,0,0,0,0,86,0,0,0
"MDFA",178,151,242,38,210,152,56,98,8,82
"MDTA",1380,795,1500,4,858,514,1328,798,170,478
"MDTB",1164,668,1480,1,1526,598,3334,592,248,324
"MDTC",4508,2562,4755,1,440,1432,14,1653,410,1318
"MDTE",728,324,890,0,1360,362,134,316,34,176
"MDTF",1726,854,1964,0,1834,826,4571,792,418,466
"MDTG",825,445,1085,4,2364,534,22,554,24,220
"MDTH",56,34,56,10,50,20,202,40,26,8
"MDTI",2052,966,2288,6,3927,1040,5113,973,442,518
"MDTJ",1816,1000,1971,2,2588,828,4461,1070,402,554
"MDTK",4,0,4,0,6,4,8,0,0,0
"MDTM",624,312,682,3,1424,474,10,336,32,154
"MDTN",132,66,140,0,254,60,2,54,8,46
"MDTO",1346,689,1436,1,1642,722,3147,607,316,326
"MDTP",8,2,2,0,10,6,34,2,0,2
"MPHB",278,212,383,4,854,202,6,134,6,78
"MSBA",1032,657,1312,4,2992,772,53,606,74,324
"MVRC",2,0,2,10,20,0,16,0,0,0
"OXA",740,322,714,1537,131,186,923,398,100,183
"PBP2",1770,986,2095,4,1343,728,9149,874,748,544
"PBP2|RequiresSNPConfirmation",0,0,0,0,0,0,2,0,0,0
"PBP4B",3384,1852,3865,3,3932,1698,9393,1300,758,972
"PMRF",756,430,966,2,1792,480,98,368,42,214
"PMRG",9348,4689,10245,2,1848,3270,9,4654,888,2593
"PSE",0,2,6,0,0,4,0,0,0,2
"ROBA",60,30,58,2,48,16,216,30,10,12
"SAT",2790,1592,4410,8630,916,1146,25046,1718,1008,978
"SDIA",12716,6860,13546,11,2594,4313,22,5890,1246,3972
"SOXS",779,488,972,2,136,310,5530,292,321,230
"SOXS|RequiresSNPConfirmation",16426,9365,17685,17,2818,5707,16,8679,1695,4866
"SULI",61,20,56,0,14,16,204,16,5,14
"SULII",814,544,1028,0,166,259,3066,347,86,269
"SULIII",2,0,0,0,0,0,6,0,0,0
"TEM",0,0,0,2,0,0,0,0,0,0
"TET32",106,48,100,78,19,27,18,75,6,36
"TETA",0,0,2,5,0,0,24,0,0,0
"TETB",972,510,1143,2,1224,470,3542,613,98,270
"TETD",4154,2393,4966,8,5882,2146,16212,2100,436,1190
"TETO",125981,65385,120743,154614,31944,41818,99031,80401,12300,36425
"UGD",8,6,8,6,44,2,2,6,2,4
"YOGI",46,18,60,2,58,24,164,22,14,12
